"Indicators","Recuperar.especies.de.interés.comercial","Conservar.especies.en.régimen.de.protección.especial","Mejorar.la.productividad.pesquera.en.aguas.adyacentes","Evitar.que.se.llegue.a.la.sobreexplotación","Recuperar.especies.sobreexplotadas","Contribuir.al.mantenimiento.de.los.procesos.biológicos","Preservar.la.diversidad.biológica.y.los.ecosistemas"
"Acceso a la pesqueria",1,1,1,1,1,1,1
"Numero de pescadores",1,1,1,1,1,1,1
"Reconocimiento legal de la reserva",1,1,1,1,1,1,1
"Tipo de reserva",1,1,1,1,1,1,1
"Grado de pesca ilegal",1,1,1,1,1,1,1
"Plan de manejo",1,1,1,1,1,1,1
"Procuracion de la reserva",1,1,1,1,1,1,1
"Tamano de la reserva",1,1,1,1,1,1,1
"Razonamiento para el diseno de la reserva",1,1,1,1,1,1,1
"Pertenencia a oragnizaciones pesqueras",1,1,1,1,1,1,1
"Tipo de organizacion pesquera",1,1,1,1,1,1,1
"Representacion",1,1,1,1,1,1,1
"Reglamentacion interna",1,1,1,1,1,1,1
"Efectividad percibida",1,1,1,1,1,1,1
